event_name,event_date
The first day of instruction for the term.,"Monday, January 8, 2024"
Accepting Faculty/Staff tuition fee waiver forms.,"Monday, January 8, 2024"
Late registration begins. ($25.00 Late Registration Fee Charged).,"Monday, January 8, 2024"
Deadline for term withdrawal from WSU with full refund (less term withdrawal fee),"Sunday, January 14, 2024"
Last day students may add a course on-line. (Classes added after this date require appropriate signatures.),"Sunday, January 14, 2024"
Martin Luther King Jr Day--ALL UNIVERSITY HOLIDAY,"Monday, January 15, 2024"
Last day a student may receive a refund for special course fees.,"Friday, January 19, 2024"
Deadline for enrollment prior to $100 late registration fee.,"Friday, January 19, 2024"
"Last day to accept Faculty/Staff tuition fee waiver forms to add courses for faculty, staff, and state employees under the tuition waiver.","Friday, January 19, 2024"
Deadline to pay unpaid tuition and mandatory fees or a 3% late fee will be assessed.,"Thursday, January 25, 2024"
Last day to change enrollment from letter graded to pass/fail.,"Friday, January 26, 2024"
Last day to change enrollment from credit to audit and audit to credit.,"Friday, January 26, 2024"
Deadline for dropping a course without record. (Course withdrawals after this date  are recorded on the student's transcript).,"Tuesday, February 6, 2024"
Deadline to pay unpaid tuition and mandatory fees or a 5% late fee will be assessed.,"Tuesday, February 6, 2024"
Last day to file residency application.,"Tuesday, February 6, 2024"
"President's Day--CLASS HOLIDAY
All University Offices will remain open.","Monday, February 19, 2024"
Deadline to pay unpaid tuition and mandatory fees or a 7% late fee will be assessed.,"Wednesday, February 21, 2024"
Mid-term grade submission ends. Required for students enrolled in undergraduate courses See Rule 88.,"Wednesday, February 28, 2024"
"Last day to apply for a Graduate Certificate/Degree. No extensions, no late fees.","Friday, March 1, 2024"
Deadline to apply for a Graduate Degree. Late fees are applied after this date. Please see Graduate School Deadlines for more information.,"Friday, March 1, 2024"
Last day to apply for May 2024 undergraduate or professional degree or certificate without incurring a late fee.  After this date an additional fee of $75 is assessed.,"Friday, March 1, 2024"
Priority Registration Begins For Summer,"Monday, March 4, 2024"
Spring vacation begins.,"Monday, March 11, 2024"
Spring vacation ends.,"Friday, March 15, 2024"
Last day for graduate students to submit completed Exam Scheduling form (via portal by department).,"Friday, April 5, 2024"
Priority Registration Begins For Fall,"Monday, April 8, 2024"
Deadline for undergraduate and professional students to withdraw from a course (see Rule 68). Withdrawals do not reduce tuition charges.,"Friday, April 12, 2024"
Last day to take final examination for an advanced degree.,"Friday, April 19, 2024"
Last day to add a course for this term with appropriate signatures.,"Friday, April 26, 2024"
Deadline for term withdrawal from WSU (see Rule 70b),"Friday, April 26, 2024"
Deadline to change from pass/fail to letter graded.,"Friday, April 26, 2024"
Last day to apply for a May 2024 undergraduate or professional degree or certificate with $75 late fee.  After this date the late fee increases to $150.,"Friday, April 26, 2024"
The last day of instruction for the term.,"Friday, April 26, 2024"
Final examinations begin.,"Monday, April 29, 2024"
Final examinations end.,"Friday, May 3, 2024"
Commencement.,"Saturday, May 4, 2024"
Final grade submission ends.,"Tuesday, May 7, 2024"
"Final Grades available. Students may select ""Grades"" under the academics tab via myWSU. Students may also order an official transcript at www.transcripts.wsu.edu.","Wednesday, May 8, 2024"
Last day to apply for a May 2024 undergraduate or professional degree or certificate with $150 late fee.,"Friday, June 7, 2024"
Last day for undergraduate or professional students to have all requirements completed to be considered a candidate for the May 2024 class.  If requirements are not complete by this date the graduation application will become in active.,"Friday, June 14, 2024"
